[GHC-79924] "TcRnCannotDefaultKindVar"
[GHC-16220] "TcRnUninferrableTyVar"
[GHC-71451] "TcRnSkolemEscape"
[GHC-88986] "TcRnPatSynEscapedCoercion"
[GHC-33973] "TcRnPatSynExistentialInResult"
[GHC-18365] "TcRnPatSynArityMismatch"
[GHC-43991] "TcRnTyFamDepsDisabled"
[GHC-60012] "TcRnAbstractClosedTyFamDecl"
[GHC-82712] "TcRnPartialFieldSelector"
[GHC-86894] "TcRnHasFieldResolvedIncomplete"
[GHC-29210] "TcRnSuperclassCycle"
[GHC-72771] "TcRnDefaultSigMismatch"
[GHC-44012] "TcRnTyFamResultDisabled"
[GHC-31004] "TcRnCommonFieldResultTypeMismatch"
[GHC-91827] "TcRnCommonFieldTypeMismatch"
[GHC-45219] "TcRnDataConParentTypeMismatch"
[GHC-23894] "TcRnGADTsDisabled"
[GHC-25709] "TcRnExistentialQuantificationDisabled"
[GHC-61072] "TcRnGADTDataContext"
[GHC-16409] "TcRnMultipleConForNewtype"
[GHC-49378] "TcRnKindSignaturesDisabled"
[GHC-32478] "TcRnEmptyDataDeclsDisabled"
[GHC-29178] "TcRnRoleMismatch"
[GHC-54298] "TcRnRoleCountMismatch"
[GHC-77192] "TcRnIllegalRoleAnnotation"
[GHC-17779] "TcRnRoleAnnotationsDisabled"
[GHC-18273] "TcRnIncoherentRoles"
[GHC-97522] "TcRnTypeSynonymCycle"
[GHC-43281] "TcRnSelfImport"
[GHC-16029] "TcRnNoExplicitImportList"
[GHC-26971] "TcRnSafeImportsDisabled"
[GHC-15328] "TcRnDeprecatedModule"
[GHC-82347] "TcRnCompatUnqualifiedImport"
[GHC-54478] "TcRnRedundantSourceImport"
[GHC-29916] "TcRnDuplicateDecls"
[GHC-10032] "TcRnPackageImportsDisabled"
[GHC-78448] "TcRnIllegalDataCon"
[GHC-71492] "TcRnNestedForallsContexts"
[GHC-15932] "TcRnRedundantRecordWildcard"
[GHC-83475] "TcRnUnusedRecordWildcard"
[GHC-40910] "TcRnUnusedName"
[GHC-28329] "TcRnQualifiedBinder"
[GHC-53822] "TcRnInvalidRecordField"
[GHC-94803] "TcRnTupleTooLarge"
[GHC-89347] "TcRnCTupleTooLarge"
[GHC-54832] "TcRnIllegalInferredTyVars"
[GHC-87543] "TcRnAmbiguousName"
[GHC-10498] "TcRnBindingNameConflict"
[GHC-50928] "NonCanonicalMonoid"
[GHC-22705] "NonCanonicalMonad"
[GHC-46235] "TcRnDefaultedExceptionContext"
[GHC-20540] "TcRnImplicitImportOfPrelude"
[GHC-67120] "TcRnMissingMain"
[GHC-17999] "TcRnGhciUnliftedBind"
[GHC-44990] "TcRnGhciMonadLookupFail"
[GHC-27346] "TcRnArityMismatch"
[GHC-62412] "TcRnSimplifiableConstraint"
[GHC-77343] "TcRnIllegalQuasiQuotes"
[GHC-16382] "TcRnImplicitRhsQuantification"
[GHC-87279] "TcRnBadTyConTelescope"
[GHC-22979] "TcRnPatersonCondFailure"
[GHC-69797] "TcRnDeprecatedInvisTyArgInConPat"
[GHC-45625] "TcRnInvalidDefaultedTyVar"
[GHC-01928] "TcRnIllegalTermLevelUse"
[GHC-14995] "TcRnNamespacedWarningPragmaWithoutFlag"
[GHC-14964] "TcRnInvisPatWithNoForAll"
[GHC-78249] "TcRnIllegalInvisibleTypePattern"
[GHC-78534] "TcRnNamespacedFixitySigWithoutFlag"
[GHC-84925] "TcRnOutOfArityTyVar"
[GHC-11983] "TcRnMisplacedInvisPat"
[GHC-23482] "TypeApplication"
[GHC-17916] "TypeApplicationInPattern"
[GHC-69317] "PatSynNotInvertible"
[GHC-28572] "PatSynUnboundVar"
[GHC-81601] "LazyFieldsDisabled"
[GHC-10107] "UnpackWithoutStrictness"
[GHC-40091] "BackpackUnpackAbstractType"
[GHC-22221] "TyVarRoleMismatch"
[GHC-99991] "TyVarMissingInEnv"
[GHC-92834] "BadCoercionRole"
[GHC-28349] "MultiParamDisabled"
[GHC-15708] "FunDepsDisabled"
[GHC-25079] "ConstrainedClassMethodsDisabled"
[GHC-39191] "TyFamsDisabledFamily"
[GHC-06206] "TyFamsDisabledInstance"
[GHC-88747] "TcRnPrecedenceParsingError"
[GHC-46878] "TcRnSectionPrecedenceError"
[GHC-93008] "HsigShapeSortMismatch"
[GHC-93009] "HsigShapeNotUnifiable"
[GHC-58589] "TcRnIllegalInvisTyVarBndr"
[GHC-57916] "TcRnInvalidInvisTyVarBndr"
[GHC-92337] "TcRnInvisBndrWithoutSig"
[GHC-23517] "DoesNotHaveSingleField"
[GHC-38291] "IsNonLinear"
[GHC-89498] "IsGADT"
[GHC-17440] "HasConstructorContext"
[GHC-07525] "HasExistentialTyVar"
[GHC-04049] "HasStrictnessAnnotation"
[GHC-88754] "TcRnIllformedTypePattern"
[GHC-70206] "TcRnIllegalTypePattern"
[GHC-29092] "TcRnIllformedTypeArgument"
[GHC-35499] "TcRnIllegalTypeExpr"
[GHC-14392] "NoConstructorHasAllFields"
[GHC-99339] "MultiplePossibleParents"
[GHC-33238] "InvalidTyConParent"
[GHC-61689] "BadImportNotExported"
[GHC-35373] "BadImportAvailDataCon"
[GHC-10237] "BadImportNotExportedSubordinates"
[GHC-56449] "BadImportAvailTyCon"
[GHC-12112] "BadImportAvailVar"
[GHC-63394] "WarningTxt"
[GHC-68441] "DeprecatedTxt"
[GHC-55017] "IllegalOccName"
[GHC-68444] "SumAltArityExceeded"
[GHC-63966] "IllegalSumAlt"
[GHC-97721] "IllegalSumArity"
[GHC-28709] "MalformedType"
[GHC-47373] "IllegalLastStatement"
[GHC-40746] "KindSigsOnlyAllowedOnGADTs"
[GHC-23882] "IllegalDeclaration"
[GHC-24104] "CannotMixGADTConsWith98Cons"
[GHC-34949] "EmptyStmtListInDoBlock"
[GHC-99831] "NonVarInInfixExpr"
[GHC-63930] "MultiWayIfWithoutAlts"
[GHC-91745] "CasesExprWithoutAlts"
[GHC-42974] "ImplicitParamsWithOtherBinds"
[GHC-60220] "InvalidCCallImpent"
[GHC-18816] "RecGadtNoCons"
[GHC-38140] "GadtNoCons"
[GHC-37056] "InvalidTypeInstanceHeader"
[GHC-78486] "InvalidTyFamInstLHS"
[GHC-51603] "InvalidImplicitParamBinding"
[GHC-39639] "DefaultDataInstDecl"
[GHC-52078] "FunBindLacksEquations"
[GHC-99623] "DodgyImportsEmptyParent"
[GHC-48795] "ImportLookupQualified"
[GHC-14752] "ImportLookupIllegal"
[GHC-92057] "ImportLookupAmbiguous"
[GHC-66111] "UnusedImportNone"
[GHC-38856] "UnusedImportSome"
[GHC-73138] "IllegalFamilyApplicationInInstance"
[GHC-97044] "IllegalSpecialClassInstance"
[GHC-21572] "IllegalInstanceFailsCoverageCondition"
[GHC-51758] "InstHeadAbstractClass"
[GHC-53946] "InstHeadNonClass"
[GHC-93557] "InstHeadTySynArgs"
[GHC-48406] "InstHeadNonTyVarArgs"
[GHC-91901] "InstHeadMultiParam"
[GHC-88994] "IllegalHasFieldInstanceNotATyCon"
[GHC-70743] "IllegalHasFieldInstanceFamilyTyCon"
[GHC-43406] "IllegalHasFieldInstanceTyConHasFields"
[GHC-30836] "IllegalHasFieldInstanceTyConHasField"
[GHC-06204] "NotAFamilyTyCon"
[GHC-06207] "NotAnOpenFamilyTyCon"
[GHC-52347] "FamilyCategoryMismatch"
[GHC-12985] "FamilyArityMismatch"
[GHC-88221] "TyFamNameMismatch"
[GHC-53634] "FamInstRHSOutOfScopeTyVars"
[GHC-30337] "FamInstLHSUnusedBoundTyVars"
[GHC-08585] "AssocInstanceMissing"
[GHC-06205] "AssocInstanceNotInAClass"
[GHC-38351] "AssocNotInThisClass"
[GHC-55912] "AssocNoClassTyVar"
[GHC-95424] "AssocTyVarsDontMatch"
[GHC-78822] "AssocDefaultNotAssoc"
[GHC-59128] "AssocMultipleDefaults"
[GHC-41522] "AssocDefaultNonTyVarArg"
[GHC-48178] "AssocDefaultDuplicateTyVars"
[GHC-31136] "NotADataType"
[GHC-72317] "NewtypeDataConNotInScope"
[GHC-10964] "UnliftedFFITypesNeeded"
[GHC-89401] "NotABoxedMarshalableTyCon"
[GHC-26070] "ForeignLabelNotAPtr"
[GHC-43510] "NotSimpleUnliftedType"
[GHC-64097] "NotBoxedKindAny"
[GHC-27555] "ForeignDynNotPtr"
[GHC-57638] "SafeHaskellMustBeInIO"
[GHC-41843] "IOResultExpected"
[GHC-92994] "UnexpectedNestedForall"
[GHC-57396] "LinearTypesNotAllowed"
[GHC-91490] "OneArgExpected"
[GHC-07641] "AtLeastOneArgExpected"
[GHC-64852] "BadSourceImport"
